cif,formula,sgnum,WyckOcc,sitios,elements,atoms,target,pred,target_pred
1000022,CaTiO3,62,"{0: {'a': {'Ti4+': 1}}, 1: {'c': {'Ca2+': 1}}, 2: {'c': {'O2-': 1}}, 3: {'d': {'O2-': 1}}}",4,3.0,20.0,True,0.9969662,True
1000097,CdNF3,62,"{0: {'b': {'Cd2+': 1}}, 1: {'c': {'N3-': 1}}, 2: {'c': {'F-': 1}}, 3: {'d': {'F-': 1}}}",4,3.0,20.0,True,0.11352685,False
1000179,Na0.22Fe2F6,167,"{0: {'a': {'Na+': 0.11}}, 1: {'b': {'Fe2.89+': 1}}, 2: {'e': {'F-': 1}}}",3,3.0,24.66,True,0.87065524,True
1000290,PrNiO3,62,"{0: {'b': {'Ni3+': 1}}, 1: {'c': {'Pr3+': 1}}, 2: {'c': {'O2-': 1}}, 3: {'d': {'O2-': 1}}}",4,3.0,20.0,True,0.9970964,True
1000293,PrNiO3,167,"{0: {'a': {'Pr3+': 1}}, 1: {'b': {'Ni3+': 1}}, 2: {'e': {'O2-': 1}}}",3,3.0,30.0,True,0.96309286,True
1000303,NdNiO3,62,"{0: {'a': {'Ni3+': 1}}, 1: {'c': {'Nd3+': 1}}, 2: {'c': {'O2-': 1}}, 3: {'d': {'O2-': 1}}}",4,3.0,20.0,True,0.9971397,True
1000304,SmNiO3,62,"{0: {'b': {'Ni3+': 1}}, 1: {'c': {'Sm3+': 1}}, 2: {'c': {'O2-': 1}}, 3: {'d': {'O2-': 1}}}",4,3.0,20.0,True,0.9972294,True
1000307,LaNiO3,167,"{0: {'a': {'La3+': 1}}, 1: {'b': {'Ni3+': 1}}, 2: {'e': {'O2-': 1}}}",3,3.0,30.0,True,0.961664,True
1001054,Ba1Ta0.5Co0.5O3,221,"{0: {'a': {'Ba2+': 1}}, 1: {'b': {'Co3+': 0.5, 'Ta5+': 0.5}}, 2: {'c': {'O2-': 1}}}",3,4.0,5.0,True,0.9762404,True
1001094,Ba2UFeO6,225,"{0: {'a': {'U5+': 1}}, 1: {'b': {'Fe3+': 1}}, 2: {'c': {'Ba2+': 1}}, 3: {'e': {'O2-': 1}}}",4,4.0,40.0,True,0.98942727,True
1001124,Y0.24Ta0.72W0.28O3,221,"{0: {'a': {'Y3+': 0.24}}, 1: {'b': {'W6+': 0.28, 'Ta5+': 0.72}}, 2: {'c': {'O2-': 1}}}",3,4.0,4.24,True,0.91526824,True
1001128,Ba2UMnO6,225,"{0: {'a': {'U6+': 1}}, 1: {'b': {'Mn2+': 1}}, 2: {'c': {'Ba2+': 1}}, 3: {'e': {'O2-': 1}}}",4,4.0,40.0,True,0.99596786,True
1001132,Ba2MgUO6,225,"{0: {'a': {'Mg2+': 1}}, 1: {'b': {'U6+': 1}}, 2: {'c': {'Ba2+': 1}}, 3: {'e': {'O2-': 1}}}",4,4.0,40.0,True,0.9960039,True
1001184,Ca0.5Ta1O3,221,"{0: {'a': {'Ca2+': 0.5}}, 1: {'b': {'Ta5+': 1}}, 2: {'c': {'O2-': 1}}}",3,3.0,4.5,True,0.8943407,True
1001185,Ta1Sn0.25O3,221,"{0: {'a': {'Sn4+': 0.25}}, 1: {'b': {'Ta5+': 1}}, 2: {'c': {'O2-': 1}}}",3,3.0,4.25,True,0.8984695,True
1001186,Ca0.91Ta0.84O3,221,"{0: {'a': {'Ca2+': 0.91}}, 1: {'b': {'Ta5+': 0.84}}, 2: {'c': {'O2-': 1}}}",3,3.0,4.75,True,0.23389284,False
1001397,BaLaZnRuO6,15,"{0: {'d': {'Ru5+': 0.5, 'Zn2+': 0.5}}, 1: {'e': {'La3+': 0.5, 'Ba2+': 0.5}}, 2: {'e': {'O2-': 1}}, 3: {'f': {'O2-': 1}}}",4,5.0,20.0,True,0.9974317,True
